Accession,Organism_Name,Isolate,Species,Genus,Country,Host,Collection_Date
DQ464062.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,China,Cell culture,2007
X87335.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,Germany,Mus musculus,1995
M22457.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,,Homo sapiens,1989
M22458.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,,Homo sapiens,1989
NC_001479.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,USA,Homo sapiens,1992
MT250509.1,Encephalomyocarditis virus,FRA/SIG/1/2014,Cardiovirus A,Cardiovirus,France,Rattus rattus,2013
MT250511.1,Encephalomyocarditis virus,FRA/SIG/3/2014,Cardiovirus A,Cardiovirus,France,Rattus rattus,2014
MT250508.1,Encephalomyocarditis virus,FRA/SIG/1/2013,Cardiovirus A,Cardiovirus,France,Loxodonta africana,2013
MT250510.1,Encephalomyocarditis virus,FRA/SIG/2/2014,Cardiovirus A,Cardiovirus,France,Rattus rattus,2014
KM269482.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,USA,Pan troglodytes,1944
GU595289.1,Human TMEV-like cardiovirus,HTCV-UC6,Cardiovirus B,Cardiovirus,USA,Homo sapiens,2001
MZ382838.1,Marmot cardiovirus,,Marmot cardiovirus,Cardiovirus,China,Himalayan marmot,2014
KU955338.1,Mengo virus,,Cardiovirus A,Cardiovirus,Central African Republic,Tatera,1983
KX231802.1,Mengo virus,,Cardiovirus A,Cardiovirus,Russia,Papio hamadryas,2007
L22089.1,Mengo virus,M,Cardiovirus A,Cardiovirus,USA,Mus,1993
DQ294633.1,Mengo virus,Rz-pMwt,Cardiovirus A,Cardiovirus,USA,Mus,2005
EU815052.1,Rat theilovirus 1,,Cardiovirus B,Cardiovirus,USA,Rattus,2006
EU542581.1,Rat theilovirus 1,,Cardiovirus B,Cardiovirus,USA,Rattus,2008
MF139053.1,Rodent Cardiovirus,SX1,Rodent Cardiovirus,Cardiovirus,China,Rattus,2014
MH976711.1,Rodent Cardiovirus,AMzj-2018,Rodent Cardiovirus,Cardiovirus,China,Rattus,2017
OL519583.1,Saffold virus,xz015-SAFV-2,Cardiovirus B,Cardiovirus,China,Homo sapiens,2018
HM181997.1,Saffold virus,SAFV-3_NL2007-2686,Cardiovirus B,Cardiovirus,Netherlands,Homo sapiens,2004
HM181998.1,Saffold virus,SAFV-3_NL2007-2690,Cardiovirus B,Cardiovirus,Netherlands,Homo sapiens,2004
HM181999.1,Saffold virus,SAFV-3_NL2005-1035,Cardiovirus B,Cardiovirus,Netherlands,Homo sapiens,2005
FM207487.1,Saffold virus,,Cardiovirus B,Cardiovirus,Netherlands,Homo sapiens,2007
GU943513.1,Saffold virus,,Cardiovirus B,Cardiovirus,China,Homo sapiens,2008
KP972594.1,Saffold virus,SAFV-3-Maynas-Loreto-Peru-2012,Cardiovirus B,Cardiovirus,Peru,Homo sapiens,2012
JF813004.1,Saffold virus,,Cardiovirus B,Cardiovirus,Canada,Homo sapiens,2007
HQ162476.1,Saffold virus,,Cardiovirus B,Cardiovirus,Malaysia,Homo sapiens,2009
AB983595.1,Saffold virus,,Cardiovirus B,Cardiovirus,Japan,Mus musculus,2014
HQ902242.1,Saffold virus,,Cardiovirus B,Cardiovirus,Japan,Homo sapiens,2008
AB983594.1,Saffold virus,,Cardiovirus B,Cardiovirus,Japan,Homo sapiens,2008
NC_009448.2,Saffold virus,,Cardiovirus B,Cardiovirus,USA,Homo sapiens,2007
NC_010810.1,Saffold virus 2,,Cardiovirus D,Cardiovirus,USA,Homo sapiens,2022
HM181996.1,Saffold virus 3,SAFV-3_NL1999-590,Cardiovirus D,Cardiovirus,Netherlands,Homo sapiens,1998
M20301.1,Theiler's encephalomyelitis virus,,Cardiovirus B,Cardiovirus,USA,Cell culture,1998
KF680264.1,Theiler's encephalomyelitis virus,Da3d-e,Cardiovirus B,Cardiovirus,USA,Cell culture,2013
EU718733.1,Theiler's encephalomyelitis virus,Vie415HTR,Cardiovirus B,Cardiovirus,USA,Homo sapiens,2008
EU723238.1,Theiler's encephalomyelitis virus,Yale,Cardiovirus B,Cardiovirus,USA,Homo sapiens,2008
EU718732.1,Theiler's encephalomyelitis virus,TOB15,Cardiovirus B,Cardiovirus,USA,Homo sapiens,2008
DQ401688.1,Theiler's encephalomyelitis virus,,Cardiovirus B,Cardiovirus,USA,Mus musculus,2007
HQ652539.1,Theiler's encephalomyelitis virus,NIHE,Cardiovirus B,Cardiovirus,Viet Nam,Mus,2007
M20562.1,Theiler's encephalomyelitis virus,,Cardiovirus B,Cardiovirus,USA,Homo sapiens,1988
JX443418.1,Theiler's encephalomyelitis virus,,Cardiovirus B,Cardiovirus,Belgium,Mus musculus,2012
X56019.1,Theiler's murine encephalomyeltits virus GDVII,,Cardiovirus B,Cardiovirus,United Kingdom,Mus,1990
AB090161.1,Theiler's-like virus of rats,,Cardiovirus B,Cardiovirus,Japan,Rattus,2002
NC_001366.1,Theilovirus,,Cardiovirus B,Cardiovirus,United Kingdom,Mus musculus,1990
NC_001547.1,Sindbis virus,,Sindbis virus,Alphavirus,USA,Cell culture,1981
PP766467,Eidolon dupreanum cardiovirus,KEL367,Eidolon dupreanum cardiovirus,Cardiovirus,Madagascar,Eidolon dupreanum,2019
