Accession,Organism_Name,Isolate,Species,Genus,Country,Host,Collection_Date
MK829707.1,Hepatovirus A,NH2013,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2013
KP879217.1,Hepatovirus A,p16,Hepatovirus A,Hepatovirus,USA,Homo sapiens,1993
FJ360733.1,Hepatovirus A,IND-HAV-95F,Hepatovirus A,Hepatovirus,India,Homo sapiens,1995
AB279733.1,Hepatovirus A,HA-JNG08-92,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,1992
AF512536.1,Hepatovirus A,DL3,Hepatovirus A,Hepatovirus,China,Homo sapiens,2002
HM769724.1,Hepatovirus A,HAV-Arg/06,Hepatovirus A,Hepatovirus,Argentina,Homo sapiens,2006
FJ360730.1,Hepatovirus A,IND-HAV-06F,Hepatovirus A,Hepatovirus,India,Homo sapiens,2006
AF485328.1,Hepatovirus A,LY6,Hepatovirus A,Hepatovirus,China,Homo sapiens,2002
NC_001489.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,USA,Homo sapiens,1987
FJ360734.1,Hepatovirus A,IND-HAV-99F,Hepatovirus A,Hepatovirus,India,Homo sapiens,1999
AB279732.1,Hepatovirus A,HA-JNG04-90,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,1990
AB279734.1,Hepatovirus A,HAJ95-8,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,1995
AB279735.1,Hepatovirus A,HAJ85-1,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,1985
FJ360732.1,Hepatovirus A,IND-HAV-08F,Hepatovirus A,Hepatovirus,India,Homo sapiens,2008
AB258387.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,1990
OR452343.1,Hepatovirus A,Chu-alp-20,Hepatovirus A,Hepatovirus,Bolivia,Vicugna pacos,2019
KP879216.1,Hepatovirus A,18f,Hepatovirus A,Hepatovirus,USA,Homo sapiens,1991
HQ437707.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Russia,Homo sapiens,2007
DQ646426.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Russia,Homo sapiens,2006
LC049337.1,Hepatovirus A,MNA12-001,Hepatovirus A,Hepatovirus,Mongolia,Homo sapiens,2012
LC049339.1,Hepatovirus A,MNA06-2130,Hepatovirus A,Hepatovirus,Mongolia,Homo sapiens,2006
LC049340.1,Hepatovirus A,MNA10-B1355,Hepatovirus A,Hepatovirus,Mongolia,Homo sapiens,2010
LC049341.1,Hepatovirus A,MNA12-130,Hepatovirus A,Hepatovirus,Mongolia,Homo sapiens,2012
LC049342.1,Hepatovirus A,MNA06-2148,Hepatovirus A,Hepatovirus,Mongolia,Homo sapiens,2012
AB839692.1,Hepatovirus A,BaliA03-H29,Hepatovirus A,Hepatovirus,Indonesia,Homo sapiens,2003
AB839693.1,Hepatovirus A,JemberA07-SBY07,Hepatovirus A,Hepatovirus,Indonesia,Homo sapiens,2007
DQ991029.1,Hepatovirus A,CP-IND,Hepatovirus A,Hepatovirus,India,Homo sapiens,2010
DQ991030.1,Hepatovirus A,GBS-IND,Hepatovirus A,Hepatovirus,India,Homo sapiens,2006
LC191189.1,Hepatovirus A,HA16-0511,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,2015
LC049338.1,Hepatovirus A,MNA09-B1141,Hepatovirus A,Hepatovirus,Mongolia,Homo sapiens,2009
KP177964.1,Hepatovirus A,td51,Hepatovirus A,Hepatovirus,China,Homo sapiens,2007
AB618531.1,Hepatovirus A,HAJNS-BorSap10,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,1999
OR452341.1,Hepatovirus A,Chu-alp-02,Hepatovirus A,Hepatovirus,Bolivia,Vicugna pacos,2019
OK625565.1,Hepatovirus A,Hepatovirus A/0789/Haiti/2016,Hepatovirus A,Hepatovirus,Haiti,Homo sapiens,2016
KX035096.1,Hepatovirus A,18f.1,Hepatovirus A,Hepatovirus,USA,Homo sapiens,2013
OR452344.1,Hepatovirus A,Chu-alp-21,Hepatovirus A,Hepatovirus,Bolivia,Vicugna pacos,2019
KT229611.1,Hepatovirus A,2ID,Hepatovirus A,Hepatovirus,China,Marmota monax,2013
KT229612.1,Hepatovirus A,3ID,Hepatovirus A,Hepatovirus,China,Marmota monax,2013
NC_028366.1,hepatovirus H2,M32Eidhel2010,Hepatovirus H,Hepatovirus,Ghana,Eidolon helvum,2010
KT877158.1,hepatovirus H3,TN1,Hepatovirus H,Hepatovirus,China,Tupaia chinensis,2012
MT457854.1,Hepatovirus sp.,,Hepatovirus sp.,Hepatovirus,Australia,Aves,2013
MW391925.1,Hepatovirus sp.,YS,Hepatovirus sp.,Hepatovirus,China,Apodemus peninsulae,2019
OR367421.1,Hepatovirus sp. 'sotense',CH-APSJS/2021,Hepatovirus sp. 'sotense',Hepatovirus,Brazil,Artibeus planirostris,2021
MG546668.1,Human hepatitis A virus,Ahvaz,Hepatovirus A,Hepatovirus,Iran,Homo sapiens,2017
KX228694.1,Human hepatitis A virus,HAV/Egy/BI-11/2015,Hepatovirus A,Hepatovirus,Egypt,Homo sapiens,2014
LC416593.1,Human hepatitis A virus,HA18-0500,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,2018
LC416594.1,Human hepatitis A virus,HA18-0551,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,2018
LC416595.1,Human hepatitis A virus,HA18-0838,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,2018
LC435031.1,Human hepatitis A virus,HA18-1053,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,2018
LC435032.1,Human hepatitis A virus,HA18-1167,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,2018
LC373510.1,Human hepatitis A virus,HA16-1496,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,2014
NC_027818.1,Phopivirus,,Hepatovirus B,Hepatovirus,USA,Phoca vitulina,2011
KT452641.1,Rodent hepatovirus,KS11510Myogla2011,Rodent hepatovirus,Hepatovirus,Germany,Myodes glareolus,2011
NC_038314.1,Rodent hepatovirus CIV459Lopsik2004,CIV459Lopsik2004,Hepatovirus E,Hepatovirus,Cote d'Ivoire,Lophuromys sikapusi,2004
NC_038315.1,Rodent hepatovirus KEF121Sigmas2012,KEF121Sigmas2012,Hepatovirus F,Hepatovirus,Mexico,Sigmodon mascotensis,2012
NC_028363.1,Rodent hepatovirus RMU101637Micarv2010,RMU101637Micarv2010,Hepatovirus D,Hepatovirus,Germany,Microtus arvalis,2010
KT452661.1,Shrew hepatovirus,KS121289Sorara2012,Hepatovirus I,Hepatovirus,Germany,Sorex araneus,2012
NC_028364.1,Shrew hepatovirus KS121232Sorara2012,KS121232Sorara2012,Hepatovirus I,Hepatovirus,Germany,Sorex araneus,2012
EU140838.1,Simian hepatitis A virus,,Hepatovirus A,Hepatovirus,India,Macaca mulatta,2009
OQ559662.1,Simian hepatitis A virus,SHAV/Macaca/Germany/2021,Hepatovirus A,Hepatovirus,Germany,Macaca fascicularis,2021
NC_028981.1,Tupaia hepatovirus A,TN1,Tupaia hepatovirus A,Hepatovirus,China,Tupaia chinensis,2012
NC_001547.1,Sindbis virus,,Sindbis virus,Alphavirus,USA,Cell culture,1981
OQ818337,Eidolon dupreanum hepatovirus,KEL148,Eidolon dupreanum hepatovirus,,Madagascar,Eidolon dupreanum,2018
PP766455,Eidolon dupreanum hepatovirus,KEL72,Eidolon dupreanum hepatovirus,,Madagascar,Eidolon dupreanum,2014
PP766457,Eidolon dupreanum hepatovirus,KEL148.1,Eidolon dupreanum hepatovirus,,Madagascar,Eidolon dupreanum,2018
PP766458,Eidolon dupreanum hepatovirus,KEL148.2,Eidolon dupreanum hepatovirus,,Madagascar,Eidolon dupreanum,2018
